"Expenditure on GDP"
,,,"Jun 25 to Sep 25(% change)","Sep 24 to Sep 25(% change)","Jun 25 to Sep 25(ppt contribution to GDP growth)"
"Final consumption expenditure",,,,,
,"General government",,"0.8","2.6","0.2"
,"Households",,"0.5","2.5","0.3"
,"Total final consumption expenditure",,"0.6","2.5","0.4"
"Gross fixed capital formation",,,,,
,"Private",,,,
,,"Dwellings","1.8","6.5","0.1"
,,"Ownership transfer costs","5.0","5.9","0.1"
,,"Non-dwelling construction","0.1","0.5","-"
,,"Machinery and equipment","7.6","5.9","0.3"
,,"Cultivated biological resources","3.1","1.0","-"
,,"Intellectual property products","2.4","7.2","0.1"
,"Public",,"3.0","-3.1","0.2"
,"Total gross fixed capital formation",,"3.0","2.8","0.7"
"Changes in inventories",,,"na","na","-0.5"
"Gross national expenditure",,,"0.6","2.1","0.6"
"Exports of goods and services",,,"1.0","3.6","0.3"
"Imports of goods and services",,,"1.5","4.2","-0.3"
"Statistical discrepancy (E)",,,"na","na","-0.1"
"Gross domestic product",,,"0.4","2.1","0.4"

"- nil or rounded to zero (including null cells)"
"na not available"

"Source: Australian Bureau of Statistics, Australian National Accounts: National Income, Expenditure and Product September 2025"
